"a" "b" "contagem"
"5" "682" 1
"5" "686" 1
"5" "697" 1
"5" "703" 1
"5" "705" 1
"5" "713" 1
"5" "714" 1
"5" "719" 1
"5" "724" 1
"5" "725" 1
"5" "726" 1
"5" "733" 1
"5" "734" 1
"5" "742" 1
"5" "744" 1
"5" "745" 1
"5" "753" 1
"5" "755" 1
"5" "757" 1
"5" "762" 1
"5" "763" 1
"5" "768" 1
"5" "781" 1
"5" "792" 1
"5" "796" 1
"5" "798" 1
"5" "802" 21
"5" "808" 2
"5" "813" 8
"5" "836" 1
"5" "845" 1
"5" "849" 1
"5" "851" 10
"5" "860" 31
"5" "861" 4
"5" "873" 9
"5" "881" 1
"5" "882" 4
"5" "891" 27
"5" "904" 1
"5" "908" 1
"5" "911" 1
"5" "912" 1
"5" "916" 1
"5" "920" 30
"5" "921" 1
"5" "922" 1
"5" "926" 6
"5" "929" 1
"5" "931" 1
"5" "938" 1
"5" "939" 1
"5" "942" 1
"5" "943" 1
"5" "944" 1
"5" "950" 1
"5" "957" 1
"5" "959" 1
"5" "961" 1
"5" "966" 1
"5" "969" 1
"5" "973" 1
"5" "979" 1
