"a" "b" "tinicio" "tfinal" "tcontato"
"1" "16" 2561000 2564000 3000
"1" "16" 2829000 2829000 0
"1" "16" 2847000 2868000 21000
"1" "16" 2877000 2912000 35000
"1" "16" 2937000 2937000 0
"1" "16" 2970000 2988000 18000
"1" "16" 3040000 3040000 0
"1" "16" 3073000 3073000 0
"1" "16" 3081000 3081000 0
"1" "16" 3110000 3110000 0
"1" "16" 3165000 3165000 0
"1" "16" 3300000 3313000 13000
"1" "16" 3329000 3329000 0
"1" "16" 3356000 3375000 19000
"1" "16" 3406000 3426000 20000
"1" "16" 3565000 3565000 0
"1" "16" 3603000 3603000 0
"1" "16" 3613000 3613000 0
"1" "16" 5633000 5666000 33000
"1" "16" 5912000 5932000 20000
"1" "16" 5964000 6011000 47000
"1" "16" 6064000 6064000 0
"1" "16" 6169000 6169000 0
"1" "16" 6207000 6207000 0
"1" "16" 6216000 6216000 0
"1" "16" 6236000 6236000 0
"1" "16" 6258000 6258000 0
"1" "16" 6263000 6263000 0
"1" "16" 6293000 6293000 0
"1" "16" 7847000 7847000 0
"1" "16" 7871000 7871000 0
"1" "16" 7880000 7880000 0
"1" "16" 8159000 8159000 0
"1" "16" 8171000 8182000 11000
"1" "16" 8493000 8537000 44000
"1" "16" 8548000 8548000 0
"1" "16" 8575000 8575000 0
"1" "17" 1111000 1111000 0
"1" "17" 1168000 1174000 6000
"1" "17" 2775000 2775000 0
"1" "17" 2778000 2778000 0
"1" "17" 3013000 3013000 0
"1" "17" 3941000 3941000 0
"1" "17" 4007000 4009000 2000
"1" "17" 4246000 4246000 0
"1" "17" 4286000 4286000 0
"1" "17" 4301000 4301000 0
"1" "17" 4307000 4307000 0
"1" "17" 4376000 4376000 0
"1" "17" 4424000 4424000 0
"1" "17" 4663000 4663000 0
"1" "17" 4700000 4717000 17000
"1" "17" 7887000 7887000 0
"1" "17" 7909000 7909000 0
"1" "17" 7941000 7941000 0
"1" "17" 8127000 8127000 0
"1" "17" 8186000 8186000 0
"1" "17" 8375000 8375000 0
"1" "18" 1177000 1177000 0
"1" "18" 3926000 3941000 15000
"1" "18" 4244000 4244000 0
"1" "18" 4682000 4682000 0
"1" "18" 9323000 9323000 0
"1" "18" 9359000 9359000 0
"1" "18" 9579000 9640000 61000
"1" "18" 10006000 10006000 0
"1" "18" 10037000 10037000 0
"1" "19" 3133000 3133000 0
"1" "19" 3139000 3139000 0
"1" "19" 3554000 3554000 0
"1" "19" 3565000 3565000 0
"1" "19" 3658000 3658000 0
"1" "19" 5590000 5590000 0
"1" "19" 5624000 5624000 0
"1" "19" 5653000 5669000 16000
"1" "19" 5892000 5892000 0
"1" "19" 5898000 5898000 0
"1" "19" 6224000 6224000 0
"1" "19" 7787000 7787000 0
"1" "19" 7833000 7833000 0
"1" "19" 7890000 7909000 19000
"1" "19" 9020000 9040000 20000
"1" "20" 3675000 3675000 0
"1" "20" 3791000 3791000 0
"1" "20" 3795000 3798000 3000
"1" "20" 3836000 3836000 0
"1" "20" 3870000 3870000 0
"1" "20" 3878000 3878000 0
"1" "20" 3903000 3903000 0
"1" "20" 3941000 3941000 0
"1" "20" 4201000 4218000 17000
"1" "20" 4234000 4234000 0
"1" "20" 4281000 4281000 0
"1" "20" 4292000 4292000 0
"1" "20" 4347000 4347000 0
"1" "20" 5863000 5875000 12000
"1" "20" 6071000 6071000 0
"1" "20" 6076000 6076000 0
"1" "20" 6119000 6119000 0
"1" "20" 6125000 6125000 0
"1" "20" 6152000 6152000 0
"1" "20" 6196000 6207000 11000
"1" "20" 7343000 7343000 0
"1" "20" 7446000 7446000 0
"1" "20" 7707000 7736000 29000
